timestamp,latitude,longitude,pm25_ugm3,co_ppm,no2_ppb,so2_ppb,o3_ppb,temperature_c,relative_humidity,wind_speed_ms,wind_direction_deg,aqi_value
2024-05-02 10:00:00,25.560083,87.553265,71.0,9.5,11.1,7.6,7.0,33.32,10.89,5.64,277.4,71
2024-05-02 10:00:00,26.63086,84.90051,114.0,2.7,28.7,3.3,72.8,31.65,10.57,5.69,276.8,114
2024-05-02 10:00:00,25.376776,86.471523,163.0,12.2,2.0,12.4,12.7,32.7,10.91,5.91,280.3,163
2024-05-02 10:00:00,26.11442,85.39813,199.0,4.6,8.7,3.4,10.4,32.36,10.17,6.05,279.6,199
2024-05-02 10:00:00,25.6103665,85.1327137,168.0,2.4,4.1,2.2,18.0,32.33,10.34,5.88,280.8,168
2024-05-02 10:00:00,25.892357,86.590325,187.0,9.9,2.7,6.7,14.6,32.7,10.5,5.92,277.3,187
2024-05-02 10:00:00,25.859655,85.77944,155.0,4.0,1.8,4.1,24.7,32.36,10.17,6.05,279.6,155
2024-05-01 17:00:00,26.2271665,84.3570427,57.0,15.9,8.0,10.8,45.4,34.33,9.9,5.6,282.5,75
2024-05-02 10:00:00,30.735567,76.775714,79.0,5.8,8.8,6.4,48.5,26.7,26.68,5.11,321.0,79
2024-05-02 10:00:00,30.735567,76.775714,79.0,5.8,8.8,6.4,48.5,26.7,26.68,5.11,321.0,79
2024-05-02 10:00:00,21.185571,81.343175,68.0,7.0,4.5,4.1,19.5,33.06,15.39,2.91,312.7,68
2024-05-02 10:00:00,22.08815,82.13737,108.0,7.4,3.7,8.1,,33.4,10.61,3.21,328.7,108
2024-05-02 10:00:00,21.185571,81.343175,68.0,7.0,4.5,4.1,19.5,33.06,15.39,2.91,312.7,68
2024-05-02 10:00:00,30.269444,78.044167,129.0,4.2,1.4,1.4,39.5,20.79,30.69,3.21,266.7,129
2024-05-02 10:00:00,20.362421,72.918013,103.0,,2.4,21.6,0.5,31.48,44.78,2.9,265.0,103
2024-05-02 10:00:00,20.362421,72.918013,103.0,,2.4,21.6,0.5,31.48,44.78,2.9,265.0,103
2024-05-02 09:00:00,28.63576,77.22445,158.0,,,,,28.64,18.53,4.2,311.3,158
2024-05-02 09:00:00,28.63576,77.22445,158.0,,,,,28.64,18.53,4.2,311.3,158
2024-05-02 09:00:00,28.63576,77.22445,158.0,,,,,28.64,18.53,4.2,311.3,158
2024-05-02 10:00:00,23.002657,72.591912,141.0,15.1,16.4,0.2,14.0,32.16,11.73,2.61,310.6,141
2024-05-02 10:00:00,21.613267,73.010555,101.0,13.0,11.9,19.5,12.5,32.43,31.15,2.53,266.1,101
2024-05-02 10:00:00,23.163798,72.677768,,10.9,4.0,4.4,15.2,32.16,11.73,2.61,310.6,15
2022-01-12 05:00:00,53.58904,142.94797,10.0,4.3,0.7,,5.2,-11.93,99.27,3.46,255.5,10
2024-05-02 10:00:00,30.379589,76.778328,72.0,10.9,1.5,6.7,15.8,26.7,26.68,5.11,321.0,72
2024-05-02 10:00:00,28.806223,76.141105,170.0,9.2,3.2,5.2,11.1,27.9,20.86,3.89,318.4,170
2024-05-02 10:00:00,30.735567,76.775714,79.0,5.8,8.8,6.4,48.5,26.7,26.68,5.11,321.0,79
2024-05-01 13:00:00,28.4088421,77.3099081,82.0,0.1,1.5,9.4,5.6,27.77,19.07,5.51,303.8,82
2024-05-02 10:00:00,29.14056,75.744941,151.0,4.6,8.6,20.6,65.1,27.7,21.28,3.57,320.6,151
2024-05-02 10:00:00,29.307814,76.337619,159.0,13.6,5.1,4.6,7.7,27.84,21.52,4.12,320.8,159
2024-05-02 10:00:00,29.8006,76.4155,140.0,3.8,9.0,11.1,4.7,27.69,23.04,4.47,322.2,140
2024-05-02 10:00:00,29.6953,77.0027,158.0,4.4,3.1,5.1,14.7,28.11,21.4,4.67,315.0,158
2020-01-13 04:00:00,28.870083,76.6205,223.0,9.9,7.1,2.8,11.2,13.0,64.43,3.76,158.9,223
2024-05-02 10:00:00,29.5364,75.0158,157.0,13.3,3.9,0.1,42.4,28.0,21.01,3.26,323.1,157
2024-05-02 10:00:00,29.0272,77.0621,58.0,2.8,13.8,5.5,9.9,28.24,20.29,4.21,315.3,64
2024-05-02 10:00:00,22.08815,82.13737,108.0,7.4,3.7,8.1,,33.4,10.61,3.21,328.7,108
2024-05-02 04:00:00,51.547479,7.693785,31.0,,6.0,,15.1,17.99,81.54,3.22,120.2,31
2024-03-04 09:00:00,34.066206,74.81982,58.0,4.0,4.6,4.8,5.6,-7.61,76.15,2.4,120.3,58
2024-05-02 10:00:00,23.707909,86.41467,,4.7,6.0,11.8,12.8,33.78,13.8,3.88,321.7,13
2024-05-02 10:00:00,12.938539,77.5901,94.0,4.7,4.5,1.4,16.5,31.55,46.53,1.51,155.9,94
2024-05-02 10:00:00,15.888653,74.541751,107.0,7.5,7.0,3.6,7.9,28.82,51.41,3.69,276.9,107
2024-05-02 10:00:00,13.328028,75.797056,95.0,1.6,5.3,1.1,9.0,29.09,57.01,1.28,249.3,95
2024-05-02 10:00:00,14.4758,75.9052,78.0,,,,,32.09,44.65,3.71,269.0,60
2024-05-01 16:00:00,13.008556,76.125258,100.0,0.6,4.3,87.8,400.8,30.37,54.92,2.47,273.0,401
2024-05-02 09:00:00,17.321993,76.822628,561.0,8.5,4.6,9.7,14.3,34.93,16.58,3.96,320.7,890
2024-05-02 07:00:00,13.1276288,78.1570122,92.0,1.0,9.8,3.7,5.5,32.3,45.69,1.96,194.5,92
2024-05-02 10:00:00,12.415911,75.73505,77.0,13.6,1.0,1.8,11.1,29.58,64.21,1.16,291.8,77
2024-05-02 10:00:00,12.88925,74.853,102.0,6.6,2.2,6.9,12.3,30.95,64.4,2.09,308.7,102
2024-04-30 13:00:00,16.208139,77.348417,61.0,20.6,17.9,41.3,1.9,36.11,23.41,2.07,148.1,61
2024-05-02 10:00:00,13.94,75.555917,81.0,5.4,4.4,4.2,0.9,31.51,48.19,3.11,257.3,81
2024-05-02 08:00:00,16.802639,75.722694,64.0,11.5,6.9,216.6,6.3,33.93,24.31,3.91,301.1,64
2024-05-02 10:00:00,11.875,75.3732,125.0,6.2,2.4,0.7,13.4,30.4,67.42,1.69,287.9,125
